participant_id,condition,week,imageid,time_point,accuracy,belief,confidence,ground_truth,seen,ai_usage,ai_image_usage,ai_literacy
59baf1a2178f1b0001828a26,Critical Thinking,0,107,after,1,0,94,fake,False,0-2 hours a day,Rarely,5.833333333333333
5b646a727c39ee00010a18b0,Critical Thinking,0,4,before,0,0,29,real,False,Once a week,Rarely,6.166666666666667
5b646a727c39ee00010a18b0,Critical Thinking,0,4,with,1,1,77,real,False,Once a week,Rarely,6.166666666666667
5b646a727c39ee00010a18b0,Critical Thinking,0,104,after,0,0,33,real,False,Once a week,Rarely,6.166666666666667
5b646a727c39ee00010a18b0,Critical Thinking,0,7,before,1,0,65,fake,False,Once a week,Rarely,6.166666666666667
5b646a727c39ee00010a18b0,Critical Thinking,0,7,with,1,0,97,fake,False,Once a week,Rarely,6.166666666666667
5b646a727c39ee00010a18b0,Critical Thinking,0,107,after,0,0,57,real,False,Once a week,Rarely,6.166666666666667
5b646a727c39ee00010a18b0,Critical Thinking,0,11,before,0,1,77,fake,False,Once a week,Rarely,6.166666666666667
5b646a727c39ee00010a18b0,Critical Thinking,0,11,with,1,0,96,fake,False,Once a week,Rarely,6.166666666666667
5b646a727c39ee00010a18b0,Critical Thinking,0,111,after,1,0,73,fake,False,Once a week,Rarely,6.166666666666667
5b646a727c39ee00010a18b0,Critical Thinking,0,0,before,1,0,93,fake,False,Once a week,Rarely,6.166666666666667
5b646a727c39ee00010a18b0,Critical Thinking,0,0,with,1,0,99,fake,False,Once a week,Rarely,6.166666666666667
5b646a727c39ee00010a18b0,Critical Thinking,0,100,after,1,0,100,fake,False,Once a week,Rarely,6.166666666666667
5bbb5e3f118c0600013c3202,Critical Thinking,0,9,before,0,0,71,real,False,0-2 hours a day,Everyday,5.666666666666667
5bbb5e3f118c0600013c3202,Critical Thinking,0,9,with,1,1,90,real,False,0-2 hours a day,Everyday,5.666666666666667
5bbb5e3f118c0600013c3202,Critical Thinking,0,109,after,1,1,62,real,False,0-2 hours a day,Everyday,5.666666666666667
5bbb5e3f118c0600013c3202,Critical Thinking,0,3,before,1,1,78,real,True,0-2 hours a day,Everyday,5.666666666666667
5bbb5e3f118c0600013c3202,Critical Thinking,0,3,with,1,1,73,real,True,0-2 hours a day,Everyday,5.666666666666667
5bbb5e3f118c0600013c3202,Critical Thinking,0,103,after,1,1,81,real,False,0-2 hours a day,Everyday,5.666666666666667
5bbb5e3f118c0600013c3202,Critical Thinking,0,0,before,1,0,40,fake,False,0-2 hours a day,Everyday,5.666666666666667
5bbb5e3f118c0600013c3202,Critical Thinking,0,0,with,1,0,100,fake,False,0-2 hours a day,Everyday,5.666666666666667
5bbb5e3f118c0600013c3202,Critical Thinking,0,100,after,1,0,86,fake,False,0-2 hours a day,Everyday,5.666666666666667
5bbb5e3f118c0600013c3202,Critical Thinking,0,11,before,1,0,51,fake,False,0-2 hours a day,Everyday,5.666666666666667
5bbb5e3f118c0600013c3202,Critical Thinking,0,11,with,1,0,90,fake,False,0-2 hours a day,Everyday,5.666666666666667
5bbb5e3f118c0600013c3202,Critical Thinking,0,111,after,1,0,92,fake,False,0-2 hours a day,Everyday,5.666666666666667
5bc9206a66d04800015cf314,Critical Thinking,0,4,before,1,1,51,real,False,4-6 hours a day,Once a month,6.0
5bc9206a66d04800015cf314,Critical Thinking,0,4,with,1,1,62,real,False,4-6 hours a day,Once a month,6.0
5bc9206a66d04800015cf314,Critical Thinking,0,104,after,1,1,59,real,False,4-6 hours a day,Once a month,6.0
5bc9206a66d04800015cf314,Critical Thinking,0,2,before,0,0,64,real,False,4-6 hours a day,Once a month,6.0
5bc9206a66d04800015cf314,Critical Thinking,0,2,with,0,0,83,real,False,4-6 hours a day,Once a month,6.0
5bc9206a66d04800015cf314,Critical Thinking,0,102,after,1,1,71,real,False,4-6 hours a day,Once a month,6.0
5bc9206a66d04800015cf314,Critical Thinking,0,1,before,1,0,89,fake,False,4-6 hours a day,Once a month,6.0
5bc9206a66d04800015cf314,Critical Thinking,0,1,with,1,0,94,fake,False,4-6 hours a day,Once a month,6.0
5bc9206a66d04800015cf314,Critical Thinking,0,101,after,1,0,53,fake,False,4-6 hours a day,Once a month,6.0
5bc9206a66d04800015cf314,Critical Thinking,0,8,before,1,0,51,fake,False,4-6 hours a day,Once a month,6.0
5bc9206a66d04800015cf314,Critical Thinking,0,8,with,1,0,61,fake,False,4-6 hours a day,Once a month,6.0
5bc9206a66d04800015cf314,Critical Thinking,0,108,after,1,0,50,fake,False,4-6 hours a day,Once a month,6.0
5bead56b5324b10001c2551c,Critical Thinking,0,7,before,1,0,60,fake,True,2-4 hours a day,Rarely,6.333333333333333
5bead56b5324b10001c2551c,Critical Thinking,0,7,with,1,0,100,fake,True,2-4 hours a day,Rarely,6.333333333333333
5bead56b5324b10001c2551c,Critical Thinking,0,107,after,1,0,82,fake,False,2-4 hours a day,Rarely,6.333333333333333
5bead56b5324b10001c2551c,Critical Thinking,0,9,before,0,0,50,real,False,2-4 hours a day,Rarely,6.333333333333333
5bead56b5324b10001c2551c,Critical Thinking,0,9,with,1,1,76,real,False,2-4 hours a day,Rarely,6.333333333333333
5bead56b5324b10001c2551c,Critical Thinking,0,109,after,0,0,71,real,False,2-4 hours a day,Rarely,6.333333333333333
5bead56b5324b10001c2551c,Critical Thinking,0,12,before,1,1,60,real,False,2-4 hours a day,Rarely,6.333333333333333
5bead56b5324b10001c2551c,Critical Thinking,0,12,with,1,1,90,real,False,2-4 hours a day,Rarely,6.333333333333333
5bead56b5324b10001c2551c,Critical Thinking,0,112,after,0,0,100,real,False,2-4 hours a day,Rarely,6.333333333333333
5bead56b5324b10001c2551c,Critical Thinking,0,5,before,1,0,60,fake,False,2-4 hours a day,Rarely,6.333333333333333
5bead56b5324b10001c2551c,Critical Thinking,0,5,with,1,0,100,fake,False,2-4 hours a day,Rarely,6.333333333333333
5bead56b5324b10001c2551c,Critical Thinking,0,105,after,0,1,70,fake,False,2-4 hours a day,Rarely,6.333333333333333
5c4f5967aac8be0001716a65,Persuasive,0,11,before,1,0,73,fake,False,0-2 hours a day,Rarely,5.666666666666667
