Average_interactions,participant_id,Week
8.0,5faefcc22be93b11829e84df,Week 2
9.0,5e27727328b7b698b037ee6c,Week 2
11.0,6287f4819c5fc8c4d48cc885,Week 2
11.0,67657279b0bce380fa33721e,Week 2
11.0,677fb35eafd357a07e351a9f,Week 2
9.0,637545d6428d85daeedc3df5,Week 2
8.0,67659224c577c7e97b074f43,Week 2
7.0,5ec62902bb44c16b842128f9,Week 2
6.0,675b6bf5887bccb7fad6c44d,Week 2
7.0,56b43607c54e3c000d3c9b0b,Week 2
8.0,640415971520c41606ca4389,Week 2
11.0,66dd097265650e0dec23231f,Week 2
10.0,5f1b4845cbf55f3192e33b89,Week 2
11.0,5deb341d35575a2547b1f85a,Week 2
11.0,57165ba7c5aca2000a8d32ca,Week 2
11.0,6023f94d1951e70ae21770ec,Week 2
9.0,5c4f5967aac8be0001716a65,Week 2
6.0,66562875b665d8e2b1b6fc66,Week 2
7.0,560379c9e372c00011bd4a90,Week 2
8.0,6797d5ada6654ec99f741b08,Week 2
7.0,67db3dd91c05b7278a0aad44,Week 2
7.0,660cda55786e37b1cbb49717,Week 2
8.0,66cb2e0bd2169db778550269,Week 2
7.0,66293ce3dba0764775195e58,Week 2
10.0,6526ba5706ea8e4e5cafde48,Week 2
11.0,678f0bb28ec3307e4f1afb78,Week 2
8.0,667d81a95170bdd075f74203,Week 2
8.0,66b5172c8f0bd3b23ce66c22,Week 2
11.0,601fd27860b197531ca7bdcc,Week 2
11.0,6650a822a7a14d7179997510,Week 2
11.0,67f3147d939ee392b2741fb5,Week 2
7.0,66abf0c472f051b5e40cfbfd,Week 2
11.0,67c83488e67b25dcb923d96d,Week 2
6.0,66881fbe723bc57d75a2c268,Week 2
9.0,67cf114d88ac6082ae5c17bd,Week 2
10.0,67d47bef1b8777e754726be0,Week 2
11.0,65178713fd459dd31fbfb62b,Week 2
11.0,5e35373e1ddb124e6c306747,Week 2
9.0,67e711daa771e0a8ad8c36f6,Week 2
11.0,671cd612f039f8a9b5e55cca,Week 2
11.0,6023f94d1951e70ae21770ec,Week 4
9.0,6650a822a7a14d7179997510,Week 4
9.0,5c4f5967aac8be0001716a65,Week 4
8.0,66abf0c472f051b5e40cfbfd,Week 4
6.0,660cda55786e37b1cbb49717,Week 4
8.0,676304145bbe20d1fd5d653c,Week 4
7.0,667d81a95170bdd075f74203,Week 4
11.0,66231fc6e1ecba676935943a,Week 4
8.0,67db3dd91c05b7278a0aad44,Week 4
8.0,5ec62902bb44c16b842128f9,Week 4
10.0,6526ba5706ea8e4e5cafde48,Week 4
11.0,678f0bb28ec3307e4f1afb78,Week 4
10.0,673378009f99d14c232c1f2b,Week 4
10.0,66293ce3dba0764775195e58,Week 4
7.0,6797d5ada6654ec99f741b08,Week 4
8.0,66cb2e0bd2169db778550269,Week 4
7.0,5caccbc4976d010014b9cd9d,Week 4
7.0,56b43607c54e3c000d3c9b0b,Week 4
8.0,664921b8a4c8fcf533571f7a,Week 4
10.0,65c18c789a79785086046517,Week 4
11.0,651865050634b0ca55fc0d0d,Week 4
8.0,6604610e7a4c3d8b8aa2309f,Week 4
9.0,67e711daa771e0a8ad8c36f6,Week 4
11.0,601fd27860b197531ca7bdcc,Week 4
10.0,5e916cb9e502b1498e8fc059,Week 4
8.0,65fb580ab7fbb2d518ee8eaa,Week 4
11.0,668f8d7343028ae0faa7a907,Week 4
6.0,666c7b666fa83d9dad4c6451,Week 4
8.0,673ccb0691efe91cd015dcf7,Week 4
11.0,65624dbc33b93e2696f06d1f,Week 4
11.0,67dac9fec33b7784afd3d08b,Week 4
8.0,66b5172c8f0bd3b23ce66c22,Week 4
10.0,5e06ecd524f9390991997bb7,Week 4
8.0,560379c9e372c00011bd4a90,Week 4
10.0,67f3147d939ee392b2741fb5,Week 4
11.0,6792f9facbb387400c5b6119,Week 4
6.0,640415971520c41606ca4389,Week 4
11.0,6287f4819c5fc8c4d48cc885,Week 4
10.0,5d20189bb34728001a230962,Week 4
11.0,5deb341d35575a2547b1f85a,Week 4
9.0,66451cf935a985828f197f7e,Week 4
10.0,628f9cfbee6de7cc7322fecf,Week 4
8.0,5faefcc22be93b11829e84df,Week 4
10.0,67cf114d88ac6082ae5c17bd,Week 4
8.0,5e27727328b7b698b037ee6c,Week 4
11.0,67d47bef1b8777e754726be0,Week 4
7.0,66881fbe723bc57d75a2c268,Week 4
8.0,67659224c577c7e97b074f43,Week 4
8.0,6562421abbbe0dc4b89ad4ff,Week 4
11.0,67c83488e67b25dcb923d96d,Week 4
11.0,5e35373e1ddb124e6c306747,Week 4
8.0,637545d6428d85daeedc3df5,Week 4
6.0,675b6bf5887bccb7fad6c44d,Week 4
7.0,66562875b665d8e2b1b6fc66,Week 4
11.0,647dde92d730823a9e5c7f0f,Week 4
9.0,5f1b4845cbf55f3192e33b89,Week 4
7.0,5d07fc124e753800168ccafe,Week 4
11.0,66dd097265650e0dec23231f,Week 4
8.0,666b4944d7f80b9099b5af20,Week 4
11.0,677fb35eafd357a07e351a9f,Week 4
10.0,6651193f302387e52405119a,Week 4
11.0,671cd612f039f8a9b5e55cca,Week 4
11.0,674ca2f2b42dd96dc2f71707,Week 4
11.0,67657279b0bce380fa33721e,Week 4
11.0,57165ba7c5aca2000a8d32ca,Week 4
11.0,65178713fd459dd31fbfb62b,Week 4
9.0,65599c698363f734b0325aa2,Week 4
